,variable_id,adduct,Compound.name,VIP,fc,p_value,mz,rt,polarity,HMDB,KEGG
1,M118T508_2_POS,(M+H)+,Betaine,10.42584206,1.251115335,2.12E-09,118.08546,508.11,Positive,HMDB0000043,C00719
2,M831T79_POS,(M-H+2Na)+,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine",1.945712545,0.647341852,2.47E-07,830.5672,78.971,Positive,HMDB0000593,NA
3,M454T372_POS,(M+H)+,1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,1.578270693,1.372941513,5.35E-07,454.2915,371.603,Positive,HMDB0011503,NA
4,M116T970_POS,(M+H)+,L-Proline,1.191139574,1.934541009,1.30E-06,116.06943,969.5625,Positive,HMDB0000162,C00148
5,M303T74_POS,(M+H)+,Eicosapentaenoic acid,1.931003825,1.49020476,1.41E-06,303.22912,73.534,Positive,HMDB0001999,C06428
6,M70T583_POS,(M+H-2H2O)+,Diethanolamine,1.254273781,1.270786897,4.49E-06,70.06426,582.678,Positive,HMDB0004437,C06772
7,M303T94_POS,(M+H-H2O)+,20-Hydroxyarachidonic acid,1.720103104,1.635614124,8.11E-06,303.23063,94.123,Positive,HMDB0002344,C14748
8,M116T583_POS,(M+H)+,D-Proline,2.999709547,1.297776822,1.33E-05,116.0697,582.6285,Positive,HMDB0003411,C00763
9,M147T706_POS,(M+H)+,L-Glutamine,2.452178929,1.223698794,4.45E-05,147.07569,705.6325,Positive,HMDB0000641,C00064
10,M130T706_2_POS,(M+H)+,L-Pyroglutamic acid,2.429481469,1.192165885,7.99E-05,130.049,705.558,Positive,HMDB0000267,C01879
11,M137T307_POS,(M+H)+,Hypoxanthine,1.523128985,1.235682401,8.49E-05,137.04479,306.541,Positive,HMDB0000157,C00262
12,M166T475_2_POS,(M+H)+,L-Phenylalanine,3.585885438,1.206051365,0.000158384,166.08561,475.0505,Positive,HMDB0000159,C00079
13,M148T771_POS,(M+H)+,L-Glutamate,1.335778498,1.272489608,0.000287652,148.0596,771.027,Positive,HMDB0000148,C00025
14,M246T442_POS,M+,2-Methylbutyroylcarnitine,1.04896501,1.336637426,0.000420646,246.16916,442.259,Positive,HMDB0000378,NA
15,M126T555_POS,(M+H)+,Taurine,1.829966298,1.184849736,0.000459172,126.02099,555.428,Positive,HMDB0000251,C00245
